ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
ATLAS;01;25018;LIGHT BLUE ;LUTHAI;1;90,8;145,9; $2,27 ; $206,12 
ATLAS;02;25018;LIGHT BLUE ;LUTHAI;4;90,3;146,5; $2,27 ; $204,98 
ATLAS;03;25018;LIGHT BLUE ;LUTHAI;10;100,5;146,8; $2,27 ; $228,14 
ATLAS;04;25018;LIGHT BLUE ;LUTHAI;12;100,5;146,8; $2,27 ; $228,14 
ATLAS;05;25018;LIGHT BLUE ;LUTHAI;7;90,2;146,7; $2,27 ; $204,75 
ATLAS;06;25018;LIGHT BLUE ;LUTHAI;11;99,9;146,7; $2,27 ; $226,77 
ATLAS;07;25018;LIGHT BLUE ;LUTHAI;6;102;146,9; $2,27 ; $231,54 
ATLAS;08;25018;LIGHT BLUE ;LUTHAI;14;86,9;146,7; $2,27 ; $197,26 
ATLAS;09;25018;LIGHT BLUE ;LUTHAI;3;94,8;146,5; $2,27 ; $215,20 
ATLAS;10;25018;LIGHT BLUE ;LUTHAI;15;94,8;147; $2,27 ; $215,20 
ATLAS;11;25018;LIGHT BLUE ;LUTHAI;5;100,2;146,7; $2,27 ; $227,45 
ATLAS;12;25018;LIGHT BLUE ;LUTHAI;8;89,5;146,7; $2,27 ; $203,17 
ATLAS;13;25018;LIGHT BLUE ;LUTHAI;9;89,9;146,5; $2,27 ; $204,07 
ATLAS;14;25018;LIGHT BLUE ;LUTHAI;13;100,6;146,5; $2,27 ; $228,36 
ATLAS;15;25018;LIGHT BLUE ;LUTHAI;17;59,2;146,7; $2,27 ; $134,38 
ATLAS;16;25018;LIGHT BLUE ;LUTHAI;16;94,9;146,5; $2,27 ; $215,42 
ATLAS;17;25018;LIGHT BLUE ;LUTHAI;2;41,3;146,3; $2,27 ; $93,75 
TOTAL;17 ROLL;;;;;1526,3;;; $3.464,70 
